url,status_code,source_page,link_type,is_internal,error_message
https://hvnh.edu.vn,200,https://digital-ai-finance.github.io/Green-Finance/project/partners/,a,False,
https://uni.opole.pl/en/,200,https://digital-ai-finance.github.io/Green-Finance/project/partners/,a,False,
https://wvsu.edu.ph,200,https://digital-ai-finance.github.io/Green-Finance/project/partners/,a,False,
https://www.hvnh.edu.vn,200,https://digital-ai-finance.github.io/Green-Finance/project/news/,a,False,
https://www.ihfeurope.eu,200,https://digital-ai-finance.github.io/Green-Finance/project/partners/,a,False,
https://www.payap.ac.th,200,https://digital-ai-finance.github.io/Green-Finance/project/partners/,a,False,
https://www.ulbsibiu.ro,200,https://digital-ai-finance.github.io/Green-Finance/project/partners/,a,False,
https://www.unisi.it,200,https://digital-ai-finance.github.io/Green-Finance/project/partners/,a,False,
https://www.utwente.nl,200,https://digital-ai-finance.github.io/Green-Finance/project/partners/,a,False,
https://www.wu.ac.th,200,https://digital-ai-finance.github.io/Green-Finance/project/partners/,a,False,
https://www.wvsu.edu.ph,200,https://digital-ai-finance.github.io/Green-Finance/project/news/,a,False,
https://www.ateneo.edu,403,https://digital-ai-finance.github.io/Green-Finance/project/partners/,a,False,
https://digital-ai-finance.github.io/Green-Finance/docs/,404,https://digital-ai-finance.github.io/Green-Finance/project/curriculum/,a,True,
https://digital-ai-finance.github.io/Green-Finance/docs/week1/,404,https://digital-ai-finance.github.io/Green-Finance/project/curriculum/,a,True,
https://digital-ai-finance.github.io/Green-Finance/docs/week2/,404,https://digital-ai-finance.github.io/Green-Finance/project/curriculum/,a,True,
https://digital-ai-finance.github.io/Green-Finance/docs/week3/,404,https://digital-ai-finance.github.io/Green-Finance/project/curriculum/,a,True,
https://www.buh.edu.vn,,https://digital-ai-finance.github.io/Green-Finance/project/news/,a,False,"SSL Error: HTTPSConnectionPool(host='www.buh.edu.vn', port=443): Max retries exceeded with url: / (Caused by SS"
https://www.ihf.be,,https://digital-ai-finance.github.io/Green-Finance/project/news/,a,False,"SSL Error: HTTPSConnectionPool(host='www.ihf.be', port=443): Max retries exceeded with url: / (Caused by SSLErr"
https://www.uni.opole.pl,,https://digital-ai-finance.github.io/Green-Finance/project/news/,a,False,"SSL Error: HTTPSConnectionPool(host='www.uni.opole.pl', port=443): Max retries exceeded with url: / (Caused by "
